topic,positive_evidence,negative_evidence_1,negative_evidence_2,negative_evidence_3,negative_evidence_4,negative_evidence_5
We should abolish intellectual property rights,"Another unusual and criticized decision taken by Fleva (in his secondary capacity as Minister of Industry and Commerce) was the abolition of virtually all patents, measures justified by his belief that intellectual property rights were holding back industrialization.","In November 2008 the European Commission describes ACTA as an attempt to enforce intellectual property rights and states that countries involved in the negotiations see intellectual property rights as ""a key instrument for their development and innovation policies"".","""There are estimates that intellectual property in the United States is worth between $5 trillion and $5.5 trillion and accounts for approximately half of U.S. exports with roughly 40 percent driving U.S. economic growth..the impact of intellectual property on the U.S. economy is undeniable.""[REF] .","Finally, US Secretary of Commerce Carlos Gutierrez declared that it would look at the law closely and support intellectual property rights, a comment widely interpreted to be supportive of Apple.","The US Constitution included the power to protect intellectual property, empowering the Federal government ""to promote the progress of science and useful arts, by securing for limited times to authors and inventors the exclusive right to their respective writings and discoveries"".","On October 1, 2011, the governments of eight nations including Japan and the United States signed the Anti-Counterfeiting Trade Agreement (ACTA), which is designed help protect intellectual property rights, especially costly copyright and trademark theft."
We should legalize cannabis,A national telephone survey conducted in 1993 found that between 52% and 55% of Australians believed that growing and possessing cannabis for personal use should be legalised.,A 2007 study of studies published in the Lancet concluded that cannabis users are 40% more likely to be sufferers of a psychotic illness than non-users.,"The lead author of the study, Professor David Fergusson, stated that ""the regular use of cannabis increases the risks that young people will try other illicit drugs.",A study of twins by researchers at Virginia Commonwealth University showed that cannabis use in adolescence strongly predicted later use of multiple drugs.,The researchers conclude there is emerging evidence that positive experiences to early cannabis use are a significant predictor of late dependence and that genetic predisposition plays a role in the development of problematic use.,"Citing more potent strains and increased ""cannabis-related health damage"", Mr. Costa proclaimed that ""the harmful characteristics of cannabis are no longer that different from those of other plant-based drugs such as cocaine and heroin.""[REF]"
We should prohibit corporal punishment,"Every province except Alberta and Manitoba had banned corporal punishment in public schools before the above-mentioned 2004 ban, though British Columbia and Manitoba were the only provinces to ban it in both public and private schools.","Diana Baumrind believes that the evidence seems to indicate that mild, nonabusive, physical punishment is not harmful when used occasionally, in a loving relationship, and in conjunction with other methods of discipline, most notably with reasoning.","Although some Christians use physical discipline for religious reasons, the European Commission of Human Rights rejected an application in 1982 by Swedish parents who alleged that Sweden's 1979 ban on parental physical punishment breached their right to respect for family life and religious freedom.","Although some Christians use physical discipline for religious reasons, the European Commission of Human Rights rejected an application in 1982 by Swedish parents who alleged that Sweden's 1979 ban on parental physical punishment breached their right to respect for family life and religious freedom.","Although some Christians use physical discipline for religious reasons, the European Commission of Human Rights rejected an application in 1982 by Swedish parents who alleged that Sweden's 1979 ban on parental physical punishment breached their right to respect for family life and religious freedom.","Although some Christians use physical discipline for religious reasons, the European Commission of Human Rights rejected an application in 1982 by Swedish parents who alleged that Sweden's 1979 ban on parental physical punishment breached their right to respect for family life and religious freedom."
We should prohibit corporal punishment,"According to Cohen's 1996 study, older children who receive corporal punishment may resort to more physical aggression, substance abuse, crime and violence.","The UK Government responded that ""the use of physical punishment is a matter for individual parents to decide"".","The petitioner argued that since corporal punishment was legal that any restrictions on that punishment infringes upon ""parental rights.""","Many countries, including some US states, also permit the use of less severe corporal punishment for children in school.","On social issues, Harper argued for ""parental rights"" to use corporal punishment against their children and supported raising the age of sexual consent.","Zeigler believed Riley should be disciplined to say ""Sir"" and ""Ma'am"" to adults, and that corporal punishment was the best means of disciplining a child."
We should end affirmative action,"Conservative Supreme Court Justice Clarence Thomas, the only current black Justice, opposes affirmative action.","The NAACP gave him a 100% rating, indicating his strong support for affirmative action.","The NAACP gave him a 100% rating, indicating his strong support for affirmative action.","The NAACP gave him a 100% rating, indicating his strong support for affirmative action.","The NAACP gave him a 100% rating, indicating his strong support for affirmative action.","The NAACP gave him a 100% rating, indicating his strong support for affirmative action."
We should abolish the monarchy,Polls indicate that many New Zealanders see the monarchy as being of little day-to-day relevance; a One News Colmar Brunton poll in 2002 found that 58% of the population believed the monarchy has little or no relevance to their lives.,"The coronation ceremony was estimated to cost his country roughly 20 million US dollars. Bokassa attempted to justify his actions by claiming that creating a monarchy would help Central Africa ""stand out"" from the rest of the continent, and earn the world's respect.","A survey taken by COMPAS, as commissioned by the National Post/Global Television media outlet, showed that 63% of Canadians ""believe the monarchy should retain or strengthen its role in Canada,"" while 12% felt moderately that the monarchy should be abolished, and 18% felt strongly about the same.","The International Monarchist League, founded in 1943, which has been very influential in Canada and Australia, has always sought to promote monarchy on the grounds that it strengthens popular liberty, both in a democracy and in a dictatorship, because by definition the monarch is not beholden to politicians.","The polling conducted by the Morgan Poll in May 2011 showed the support for the monarchy was now 55% (up 17% since 1999), whereas the support for a republic was at 34% (down 20%).","Comparing laws in the various forms of government, Shcherbatov pointed out the advantage of the monarchy, which, having its solid established laws could provide for its citizens' security for their lives, property and tranquility."
We should subsidize biofuels,"According to the Rocky Mountain Institute, sound biofuel production practices would not hamper food and fibre production, nor cause water or environmental problems, and would enhance soil fertility.",The study conclusion is that the net effect of biofuel production via clearing of carbon-rich habitats is to increase CO2 emissions for decades or centuries relative to fossil fuel use.,"In 2007, United nations Food and Agriculture Organization Special Rapporteur for the Right to Food urges five year moratorium on food based biofuels, including ethanol, saying its development is a ""crime against humanity.""",A team led by Fargione from The Nature Conservancy found that clearing natural lands for use as agricultural land to produce biofuel feedstock creates a carbon debt.,Environmental campaigner George Monbiot has argued for a 5-year freeze on biofuels while their impact on poor communities and the environment is assessed.,Environmental campaigner George Monbiot has argued for a 5-year freeze on biofuels while their impact on poor communities and the environment is assessed.
We should prohibit corporal punishment,"The Australian Psychological Society holds that physical punishment of children should not be used as it has very limited capacity to deter unwanted behavior, does not teach alternative desirable behavior, often promotes further undesirable behaviors such as defiance and attachment to ""delinquent"" peer groups, and encourages an acceptance of aggression and violence as acceptable responses to conflicts and problems.","Baumrind has studied the effects of corporal punishment on children, and has concluded that mild spanking, in the context of an authoritative (NOT authoritarian) parenting style, is unlikely to have a significant detrimental effect, if one is careful to control for other variables such as socioeconomic status.","Baumrind has studied the effects of corporal punishment on children, and has concluded that mild spanking, in the context of an authoritative (NOT authoritarian) parenting style, is unlikely to have a significant detrimental effect, if one is careful to control for other variables such as socioeconomic status.","Baumrind has studied the effects of corporal punishment on children, and has concluded that mild spanking, in the context of an authoritative (NOT authoritarian) parenting style, is unlikely to have a significant detrimental effect, if one is careful to control for other variables such as socioeconomic status.","Baumrind has studied the effects of corporal punishment on children, and has concluded that mild spanking, in the context of an authoritative (NOT authoritarian) parenting style, is unlikely to have a significant detrimental effect, if one is careful to control for other variables such as socioeconomic status.","Baumrind has studied the effects of corporal punishment on children, and has concluded that mild spanking, in the context of an authoritative (NOT authoritarian) parenting style, is unlikely to have a significant detrimental effect, if one is careful to control for other variables such as socioeconomic status."
Sex education should be mandatory,"According to Schauer, the CWA's stance on sex education intends to teach children the ""dangers of sex outside of marriage and give them the tools to avoid promiscuity.""[REF] .","In June 2011, Hitchens was booed by a Question Time audience when he said that sex education was causing teenage pregnancies and sexually transmitted diseases, asserting that sex education ""is actually all about taking away [children's] innocence.""","In 2003 a Catholic church spokesman branded sex education as ""pornography"" and Cardinal O'Brien claimed plans to give sex education to pre-school children amounted to ""state-sponsored sexual abuse of minors.""[REF] .","The authorities believe that such liberalized sex education teaches youth how to obtain sexual gratification, which would encourage sexual abuse of underage children.","The Family Council of Victoria also opposes sex-education and anti-homophobia policies in public schools, which it claims is ""pro-homosexual indoctrination"" of students.",McCain is against federal funding of birth control and sex education; his opposition included a vote against spending $100 million to reduce teen pregnancy by education and contraceptives.
We should subsidize condoms,"Education, female economic independence, safe sex practices and consistent condom use are proven effective measures against HIV transmission.","Green said that according to the ""best studies,"" condoms makes people take wilder sexual risks, thus worsening the spread of the disease.","In 2009, Pope Benedict XVI asserted that handing out condoms is not the solution to combating AIDS and actually makes the problem worse.","In 2009, Pope Benedict XVI asserted that handing out condoms is not the solution to combating AIDS and might make the problem worse.","Harvard Director Edward Green concluded that the ""best studies"" show that more condoms promote the spread of AIDS.","In 2009, Cardinal Maradiaga agreed with the Pope that condoms cannot be of any real benefit in the fight against AIDS."
We should end international aid,"Kenyan economist James Shikwati says in an interview with Der Spiegel: ""aid to Africa does more harm than good"".",Graham also told Amir Sjarifuddin that the US would provide aid to help rebuild a free Indonesia.,"Edward Walker, former ambassador to Egypt noted ""Aid offers an easy way out for Egypt to avoid reform.","Edward Walker, former ambassador to Egypt noted ""Aid offers an easy way out for Egypt to avoid reform.","Edward Walker, former ambassador to Egypt noted ""Aid offers an easy way out for Egypt to avoid reform.","Edward Walker, former ambassador to Egypt noted ""Aid offers an easy way out for Egypt to avoid reform."
We should legalize prostitution,"In the interim Louis IX (1226-1270) attempted to ban prostitution in December 1254, with disastrous social consequences and widespread protests.",The Swedish Government believes that women selling sexual services to men constitutes a form of violence against women which should be eliminated by reducing demand.,The federal and provincial governments argued that prostitution is exploitative and harmful to the community.,"The Association for the Promotion of Women in Romania opposes legalized prostitution, as they view prostitution as ""another form of violence against women and girls"".",Opinion polls have shown that up to 70% of the population supports banning the purchase of sexual services.,"The Austrian Federal Ministry of the Interior considers the illegal prostitution as a problem because it comes along with crimes like human trafficking, pimping and rape."
We should subsidize biofuels,"As part of the announcement, the Commission clarified that it will publish a report on the impacts of indirect land use by the end of 2010, as requested in the Renewable Energy Directive and on the basis of recently released reports that suggest that biofuels are saving greenhouse gas emissions.",In 2008 a critical report by the Royal Society stated that biofuels risk failing to deliver significant reductions in greenhouse gas emissions from transport and could even be environmentally damaging unless the Government puts the right policies in place.,"Jean Ziegler, then UN Special Rapporteur on food, concluded that while the argument for biofuels in terms of energy efficiency and climate change are legitimate, the effects for the world's hungry of transforming wheat and maize crops into biofuel are ""absolutely catastrophic,"" and terms such use of arable land a ""crime against humanity.""","On April 2008, Jean Ziegler, back then United Nations Special Rapporteur on the Right to Food, repeated his claim that biofuels were a ""crime against humanity"",[REF][REF] echoing his October 2007 call for a 5-year ban for the conversion of land for the production of biofuels.","On April 2008, Jean Ziegler, back then United Nations Special Rapporteur on the Right to Food, repeated his claim that biofuels were a ""crime against humanity"",[REF][REF] echoing his October 2007 call for a 5-year ban for the conversion of land for the production of biofuels.","On April 2008, Jean Ziegler, back then United Nations Special Rapporteur on the Right to Food, repeated his claim that biofuels were a ""crime against humanity"",[REF][REF] echoing his October 2007 call for a 5-year ban for the conversion of land for the production of biofuels."
We should ban male infant circumcision,"The issue was addressed at the Council of Jerusalem where Paul made an argument that circumcision was not a necessary practice, vocally supported by Peter, as documented in .","Modern proponents, such as Morris, argue that circumcision reduces the risks of urinary tract infections, penile cancer, HIV, balanitis, posthitis, phimosis, and prostate cancer as well as conferring sexual benefits.",The World Health Organization and UNAIDS currently recommend circumcision as part of a comprehensive program for prevention of HIV transmission in areas with high endemic rates of HIV.,"The WHO and UNAIDS recommend male circumcision as a means of reducing the rate of HIV infection,[REF] but this has also proved controversial, with doubts raised about the efficacy of mass circumcision campaigns in sub-Saharan Africa.","Strong evidence from Africa indicates that circumcision reduces the risk of HIV infection in heterosexual men by 38-66%,[REF] and studies have concluded it is cost effective in sub-Saharan Africa.","Regarding the practice of routine infant circumcision, the College of Physicians and Surgeons of British Columbia stated that ""Infant male circumcision was once considered a preventive health measure and was therefore adopted extensively in Western countries."
We should further exploit wind power,"The expanding wind power market will help Texas meet its 2015 renewable energy goal of 5,000 new megawatts of power from renewable sources.",The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option.,"According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" ."
We should prohibit corporal punishment,"Janet Heimlich, author of Breaking Their Will: Shedding Light on Religious Child Maltreatment, quoted Pearl as saying, ""You are abusing your child when [corporal punishment] starts doing harm to your child.""[REF] .","Diana Baumrind believes that the evidence seems to indicate that mild, nonabusive, physical punishment is not harmful when used occasionally, in a loving relationship, and in conjunction with other methods of discipline, most notably with reasoning.","Zeigler believed Riley should be disciplined to say ""Sir"" and ""Ma'am"" to adults, and that corporal punishment was the best means of disciplining a child.","Larzelere, like most experts who believe spanking is not always detrimental, believes that certain guidelines must be kept in mind if parents choose to use corporal punishment.","Principal Mr Shelton Perkins is a believer in using the strap, a form of corporal punishment, when other methods to instil discipline have failed.","Principal Mr Shelton Perkins is a believer in using the strap, a form of corporal punishment, when other methods to instil discipline have failed."
We should legalize cannabis,"Clinical trials conducted by the American Marijuana Policy Project, have shown the efficacy of cannabis as a treatment for cancer and AIDS patients, who often suffer from clinical depression, and from nausea and resulting weight loss due to chemotherapy and other aggressive treatments.",Researchers from the University of British Columbia presented a study at the American Thoracic Society 2007 International Conference showing that smoking cannabis and tobacco together more than tripled the risk of developing COPD over just smoking tobacco alone.[REF],"A study conducted by the Fred Hutchinson Cancer Research Center and funded by the National Institutes of Health, published in the journal Cancer March 15, 2009, linked long-term use of cannabis to an increased risk of 70 percent for testicular cancer with the scientists concluding that cannabis is harmful to the human endocrine and reproductive system.","The BEACH[REF] study (Bettering the Evaluation and Care of Health) conducted by the Australian General Practice Statistics and Classification Centre, based at the University of Sydney, found that ""cannabis smokers are more likely to suffer depression, anxiety and psychosis"".","Gonzales v. Raich (2005) held in a 6-3 decision that the Commerce Clause of the United States Constitution allowed the federal government to ban the use of cannabis, including medical use even if local laws allow it.",The researchers conclude there is emerging evidence that positive experiences to early cannabis use are a significant predictor of late dependence and that genetic predisposition plays a role in the development of problematic use.
We should further exploit hydroelectric dams,"The National Electrification Law made producing hydroelectric power an absolute priority, as was standardising electricity in the country through a national transport network.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream."
We should subsidize biofuels,"IATA thinks a 6% share of sustainable 2nd generation biofuels is achievable by 2020,[REF] and Boeing supports a target of 1% of global aviation fuels by 2015.",A growing body of academic research suggested that biofuels would effectively displace agricultural production and cause damaging land-use change in other parts of the world.,"In October 2008, Peter Brabeck-Letmathe, chairman and former chief executive of Nestlé, warned that the production of biofuels will further deplete the world's water supply.",A team led by Fargione from The Nature Conservancy found that clearing natural lands for use as agricultural land to produce biofuel feedstock creates a carbon debt.,Environmental campaigner George Monbiot has argued for a 5-year freeze on biofuels while their impact on poor communities and the environment is assessed.,Environmental campaigner George Monbiot has argued for a 5-year freeze on biofuels while their impact on poor communities and the environment is assessed.
We should legalize cannabis,Case reports have found that Cannabis can relieve tics in people with obsessive compulsive disorder and Tourette syndrome.,Some studies have suggested that cannabis users have a greater risk of developing psychosis than non-users.,Evidence suggests that cannabis users can develop tolerance to the effects of THC and experience withdrawal symptoms.,Smaller studies have implicated cannabis use in the development of bladder cancer and testicular germ cell tumors.,Smaller studies have implicated cannabis use in the development of bladder cancer and testicular germ cell tumors.,Smaller studies have implicated cannabis use in the development of bladder cancer and testicular germ cell tumors.
We should ban partial birth abortions,Thomas further noted that the gruesome nature of some partial-birth abortions has caused personal trauma in the doctors performing them.,"In Stenberg v. Carhart (2000), the Court struck down a state ban on partial-birth abortion, concluding that it failed the ""undue burden"" test established in Casey.","For example, Kennedy dissented in the 2000 decision in Stenberg v. Carhart, which struck down laws criminalizing partial-birth abortion.",NARAL endorsed Sestak in the 2010 Democratic primary over Specter because of Sestak's opposition to a ban on partial birth abortion.,"Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba.","Jeffords consistently voted against the ban on partial-birth abortion, and also against a harsher line on Cuba."
We should ban full-body scanners,came out in the Fall 2010 issue of the internationally distributed University of Denver Transportation Law Journal that argued that the full-body scanners are unconstitutional in the United States because they are (1) too invasive and (2) not effective enough because the process is too inefficient.,"Dr. Steve Smith, inventor of the body scanner in 1991, and president of Tek84, one of the companies that that produces the machines, has stated that the concerns of Dr. Brenner and UCSF Scientists regarding the skin dose of backscatter scanners is incorrect.","Dr. Steve Smith, inventor of the body scanner in 1991, and president of Tek84, one of the companies that that produces the machines, has stated that the concerns of Dr. Brenner and UCSF Scientists regarding the skin dose of backscatter scanners is incorrect.","Dr. Steve Smith, inventor of the body scanner in 1991, and president of Tek84, one of the companies that that produces the machines, has stated that the concerns of Dr. Brenner and UCSF Scientists regarding the skin dose of backscatter scanners is incorrect.","Dr. Steve Smith, inventor of the body scanner in 1991, and president of Tek84, one of the companies that that produces the machines, has stated that the concerns of Dr. Brenner and UCSF Scientists regarding the skin dose of backscatter scanners is incorrect.","Dr. Steve Smith, inventor of the body scanner in 1991, and president of Tek84, one of the companies that that produces the machines, has stated that the concerns of Dr. Brenner and UCSF Scientists regarding the skin dose of backscatter scanners is incorrect."
We should subsidize condoms,The 2000 NIH review concluded that condom use significantly reduces the risk of gonorrhea for men.,"Green said that according to the ""best studies,"" condoms makes people take wilder sexual risks, thus worsening the spread of the disease.","Harvard Director Edward Green concluded that the ""best studies"" show that more condoms promote the spread of AIDS.","In 2009, Cardinal Maradiaga agreed with the Pope that condoms cannot be of any real benefit in the fight against AIDS.","The Church is concerned that promotion of condom use will lead to irresponsible, risky sexual behavior (promiscuity and prostitution).","In his capacity as Director of Foreign Assistance, Tobias encouraged sexual abstinence, and discounted the use of condoms, in preventing HIV/AIDS."
We should legalize cannabis,Some studies have shown that use of cannabis results in the growth of new nerve cells in the hippocampus from both embryonic and adult stem cells.,"For example, a 2007 meta-analysis showed that cannabis use is statistically associated with a dose-dependent increase in risk of development of psychotic disorders, including schizoaffective disorder.","Moreover, a 2005 meta-analysis found that cannabis use is a significant independent risk factor for developing psychotic symptoms and psychosis.",A study of twins by researchers at Virginia Commonwealth University showed that cannabis use in adolescence strongly predicted later use of multiple drugs.,"A 2008 study suggested that long-term, heavy cannabis use (over five joints daily for more than ten years) are associated with structural abnormalities in the hippocampus and amygdala areas of the brain.",A study by Complutense University of Madrid found the chemicals in cannabis promote the death of brain cancer cells by essentially helping them feed upon themselves in a process called autophagy.
We should adopt vegetarianism,"Mohandas Gandhi, James Bevel, and other nonviolent proponents advocated vegetarianism as part of their nonviolent philosophy.",Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.,Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.,Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.,Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.,Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.
We should ban breast implants,On 6 jan 2012 Germany's Federal Institute for Drugs and Medical Devices recommends the removal of PIP breast implants as a precaution.,"The U.S. National Institutes of Health states, ""Breast implants, using antiperspirants, and wearing underwire bras do not raise your risk for breast cancer.""[REF]","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF].","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF].","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF].","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF]."
We should increase government regulation,Bruce Schneier also supports regulation that encourages software companies to write more secure code through economic incentives.,"Harris Miller, president of the Information Technology Association of America, believes that regulation inhibits innovation.","Firstly, said Quesnay, regulation impedes the flow of income throughout all social classes and therefore economic development.","In The Rise and Decline of Nations, 1982, Mancur Olson argues that ""bureaucratic regulation itself generates further complexity and costs.","In The Rise and Decline of Nations, 1982, Mancur Olson argues that ""bureaucratic regulation itself generates further complexity and costs.","In The Rise and Decline of Nations, 1982, Mancur Olson argues that ""bureaucratic regulation itself generates further complexity and costs."
We should prohibit hydraulic fracturing,"Also the Council of Canadians and Sierra Club Canada which take a strong position against hydraulic fracturing[REF] and wants it banned in Canada entirely, and have supported specific bans in Nova Scotia and New Brunswick.","Natural gas drilling increased in the United States after the Environmental Protection Agency said in 2004 that hydraulic fracturing, ""posed little or no threat"" to drinking water.","In response to calls to ban fracking in parts of New York, the Manhattan Institute released a report in 2011 projecting that allowing fracking would stimulate the state economy to the tune of $11 billion.","An early draft of the study discussed the possibility of dangerous levels of fracking-fluid contamination, and mentioned ""possible evidence"" of aquifer contamination; both these points were absent from the final report, which concluded simply that fracking ""poses little or no threat to drinking water"".","Advances in the technology of 3-D seismic imaging, drilling and completion technology, including hydraulic fracturing techniques has enabled Chief to produce gas from the low permeability Barnett Shale and Marcellus Shale that otherwise would not be economically feasible.","Advances in the technology of 3-D seismic imaging, drilling and completion technology, including hydraulic fracturing techniques has enabled Chief to produce gas from the low permeability Barnett Shale and Marcellus Shale that otherwise would not be economically feasible."
We should end affirmative action,"Opponents,[REF] who sometimes say that affirmative action is ""reverse discrimination"", further claim that affirmative action has undesirable side-effects in addition to failing to achieve its goals.","National Board, January 1989 The League advocates affirmative action programs for minorities and women and opposes private school vouchers.","As President of the Texas State Bar, Miers supported affirmative action, going so far as to continue a quota system for women and ethnic minorities practicing law in the state.","According to a poll taken by USA Today in 2005, most Americans support affirmative action for women; with minority groups, it is more split.","Wesolowski supported affirmative action programs for Saskatoon Catholic teachers in 2001, arguing that past policies had discriminated against women and aboriginals.","Elkins' views were influential during the late 1960s when Daniel Patrick Moynihan, supported Affirmative action programs in order to counteract the lingering effects of slavery on black culture."
We should increase government regulation,"Genachowski said regulations would ""support policies that advance our global competitiveness and preserve the Internet as a powerful platform for innovation.""[REF] .","Energy: Badnarik opposes government regulation of the energy industry, instead arguing that the free market is more effective in controlling prices and maintaining stability.","The Party also supports the abolition of the Bank of Canada, arguing that government regulation of currency and credit is harmful to the economy.",Political analyst Cherian George noted that the regulation would hinder the development of citizen journalism in Singapore.,"2005 - the RCEP's report agreed with Downs' claim that current regulations are inadequate, and concluded that crop spraying is a health risk.","Sullivan is a vocal critic of the Environmental Protection Agency, claiming that regulations being pushed by the Obama Administration are harmful to the U.S. economy."
We should ban boxing,"Since then, the British,[REF] Canadian[REF] and Australian[REF] Medical Associations also have called for bans on boxing.","In his first editorial, Murray stated, ""Boxing will stand for good clean sport.","Magee's younger brother Eamonn stated that for his mother ""boxing was as important as school"".","Magee's younger brother Eamonn stated that for his mother ""boxing was as important as school"".","Magee's younger brother Eamonn stated that for his mother ""boxing was as important as school"".","Magee's younger brother Eamonn stated that for his mother ""boxing was as important as school""."
We should legalize cannabis,"Canada, Spain, The Netherlands and Austria have legalized some form of cannabis for medicinal use.",Some studies have suggested that cannabis users have a greater risk of developing psychosis than non-users.,Evidence suggests that cannabis users can develop tolerance to the effects of THC and experience withdrawal symptoms.,Smaller studies have implicated cannabis use in the development of bladder cancer and testicular germ cell tumors.,The Drug Enforcement Agency has reported that cannabis sales and trafficking support violent criminal gangs.,The Drug Enforcement Agency has reported that cannabis sales and trafficking support violent criminal gangs.
We should legalize polygamy,"A 2005 report by the Alberta Civil Liberties Research Centre recommended that Canada decriminalize polygamy, stating: ""Criminalization is not the most effective way of dealing with gender inequality in polygamous and plural union relationships.","In 2003, Director of the Israeli Population Administration Department, Herzl Gedj, described polygamy in the Bedouin sector a ""security threat"" and advocated various means of reducing the Arab birth rate.","Romney's paternal great-grandparents practiced plural marriage, and went to Mexico in 1884 after the 1878 U.S. Supreme Court decision in Reynolds v. United States that upheld laws banning polygamy.",Critics of polygamy in the early LDS Church claim that church leaders established the practice of polygamy in order to further their immoral desires for sexual gratification with multiple sexual partners.,"Sarah Pratt ended her marriage to husband Orson Pratt in 1868 because of his ""obsession with marrying younger women""[REF] and condemned polygamy because: [polygamy] completely demoralizes good men and makes bad men correspondingly worse.","Sarah Pratt ended her marriage to husband Orson Pratt in 1868 because of his ""obsession with marrying younger women""[REF] and condemned polygamy because: [polygamy] completely demoralizes good men and makes bad men correspondingly worse."
We should adopt open source software,"The ISA also supports Gelato, an Itanium HPC user group and developer community that ports and supports open source software for Itanium.","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer""."
We should subsidize biofuels,"In 2007, Queensland University in Australia contracted with Syngenta to research different inputs for biofuels as a renewable energy source.","A November 2020 study states that biofuels, their production, and their subsidies as leading causes of agricultural price shocks.",A growing body of academic research suggested that biofuels would effectively displace agricultural production and cause damaging land-use change in other parts of the world.,"In October 2008, Peter Brabeck-Letmathe, chairman and former chief executive of Nestlé, warned that the production of biofuels will further deplete the world's water supply.",Environmental campaigner George Monbiot has argued for a 5-year freeze on biofuels while their impact on poor communities and the environment is assessed.,Environmental campaigner George Monbiot has argued for a 5-year freeze on biofuels while their impact on poor communities and the environment is assessed.
We should increase gun control,"Through a spokeswoman, Kennedy said that she supports legislation legalizing same-sex marriage, is pro-choice, is a strong supporter of gun control, opposes the death penalty,[REF] and favors restoring the Federal Assault Weapons Ban, which expired in 2004.","Regarding the Second Amendment, Coburn believes that it ""recognizes the right of individual, law-abiding citizens to own and use firearms,"" and he opposes ""any and all efforts to mandate gun control on law-abiding citizens.""[REF]","The NRA opposes most new gun-control legislation, calling instead for stricter enforcement of existing laws such as prohibiting convicted felons and violent criminals from possessing firearms and increased sentencing for gun-related crimes.","The Sporting Shooters Association of Australia states that there is no evidence that gun control restrictions in 1987, 1996 and 2002 had any impact on the already established trends.","The National Rifle Association is opposed to such laws, and some groups have called for fewer gun control laws, citing cases of armed students ending shootings and halting further loss of life, and claiming that the prohibitions against carrying a gun in schools do not deter the gunmen.","On June 26, 2008, the Supreme Court of the United States held in District of Columbia v. Heller that the city's 1976 handgun ban violated the Second Amendment right to gun ownership."
We should ban male infant circumcision,"Among men who have sex with men, there is insufficient evidence that male circumcision protects against HIV infection or other Sexually Transmitted Infections.",The WHO currently recommends circumcision be recognised as an intervention as part of a comprehensive program for prevention of HIV transmission in areas with high endemic rates of HIV.,"In a 2008 study of Kenyan men, Krieger et al. stated that ""Adult male circumcision was not associated with sexual dysfunction.","The authors said, ""Male circumcision provides a degree of protection against acquiring HIV infection, equivalent to what a vaccine of high efficacy would have achieved.",Baeten et al. (2005) found that uncircumcised men were at a greater than twofold increased risk of acquiring HIV per sex act when compared with circumcised men.,The authors reported that neonatal circumcision was associated with reduced risk of invasive penile cancer (OR 0.41; 95% CI 0.13-1.1)
